trainee_id,salary,retention_months,job_changes,district,course_category,qualification
TRN_MH_2026_1000,19238.5,4.5,0,Chhatrapati Sambhajinagar,Apparel,ITI Diploma
TRN_MH_2026_1001,17016.07,9.7,0,Mumbai,Healthcare,10th Pass
TRN_MH_2026_1002,19766.91,11.9,0,Amravati,IT-ITeS,10th Pass
TRN_MH_2026_1003,22830.6,23.4,0,Solapur,Automotive,Below 10th
TRN_MH_2026_1004,16680.46,16.8,1,Thane,Apparel,10th Pass
TRN_MH_2026_1005,16680.52,7.3,0,Nashik,Construction,10th Pass
TRN_MH_2026_1006,23027.24,16.4,0,Solapur,Construction,12th Pass
TRN_MH_2026_1007,20186.02,6.3,0,Solapur,IT-ITeS,Below 10th
TRN_MH_2026_1008,15856.84,19.4,2,Gadchiroli,Construction,Graduate
TRN_MH_2026_1009,19398.96,11.6,2,Thane,Apparel,Below 10th
TRN_MH_2026_1010,15878.04,13.5,1,Thane,IT-ITeS,ITI Diploma
TRN_MH_2026_1011,15869.95,20.6,2,Nagpur,IT-ITeS,10th Pass
TRN_MH_2026_1012,18346.87,7.6,2,Nagpur,Automotive,12th Pass
TRN_MH_2026_1013,10803.52,7.0,1,Amravati,Construction,Below 10th
TRN_MH_2026_1014,11462.79,,2,Chhatrapati Sambhajinagar,Automotive,10th Pass
TRN_MH_2026_1015,15531.99,19.2,0,Gadchiroli,IT-ITeS,ITI Diploma
TRN_MH_2026_1016,13955.09,6.4,1,Nagpur,Electronics and Hardware,12th Pass
TRN_MH_2026_1017,18599.87,1.0,0,Chhatrapati Sambhajinagar,Construction,12th Pass
TRN_MH_2026_1018,14321.92,,1,Mumbai,Automotive,Below 10th
TRN_MH_2026_1019,12556.94,16.8,0,Pune,Healthcare,10th Pass
TRN_MH_2026_1020,22629.77,20.0,0,Nashik,Automotive,Graduate
TRN_MH_2026_1021,16709.78,11.7,0,Gadchiroli,Electronics and Hardware,12th Pass
TRN_MH_2026_1022,17736.35,0.5,12,Nashik,Automotive,10th Pass
TRN_MH_2026_1023,12513.38,19.8,0,Amravati,Electronics and Hardware,10th Pass
TRN_MH_2026_1024,15594.66,4.7,0,Chhatrapati Sambhajinagar,Healthcare,12th Pass
TRN_MH_2026_1025,17888.23,12.1,1,Gadchiroli,Electronics and Hardware,Below 10th
TRN_MH_2026_1026,13471.52,15.0,0,Thane,Healthcare,ITI Diploma
TRN_MH_2026_1027,18814.94,16.2,0,Thane,IT-ITeS,Below 10th
TRN_MH_2026_1028,15397.76,11.5,3,Nagpur,Construction,ITI Diploma
TRN_MH_2026_1029,,14.2,1,Thane,Construction,10th Pass
TRN_MH_2026_1030,15394.03,1.6,1,Pune,Healthcare,ITI Diploma
TRN_MH_2026_1031,23982.97,10.7,2,Pune,Healthcare,12th Pass
TRN_MH_2026_1032,17452.76,,0,Pune,Electronics and Hardware,10th Pass
TRN_MH_2026_1033,13798.01,9.1,0,Solapur,IT-ITeS,10th Pass
TRN_MH_2026_1034,20378.91,14.3,1,Thane,IT-ITeS,Below 10th
TRN_MH_2026_1035,13227.05,16.2,1,Gadchiroli,IT-ITeS,12th Pass
TRN_MH_2026_1036,18231.02,12.3,1,Thane,Automotive,10th Pass
TRN_MH_2026_1037,10641.15,0.5,8,Mumbai,Automotive,12th Pass
TRN_MH_2026_1038,12851.35,9.2,1,Nashik,IT-ITeS,Graduate
TRN_MH_2026_1039,18189.01,13.0,1,Mumbai,IT-ITeS,10th Pass
TRN_MH_2026_1040,20084.63,17.1,0,Chhatrapati Sambhajinagar,Electronics and Hardware,Graduate
TRN_MH_2026_1041,18099.79,14.8,2,Amravati,Healthcare,12th Pass
TRN_MH_2026_1042,17095.23,11.1,1,Chhatrapati Sambhajinagar,Construction,10th Pass
TRN_MH_2026_1043,16446.14,15.1,2,Nagpur,Automotive,ITI Diploma
TRN_MH_2026_1044,12325.17,17.6,0,Solapur,Healthcare,ITI Diploma
TRN_MH_2026_1045,14980.55,,1,Thane,IT-ITeS,10th Pass
TRN_MH_2026_1046,15887.76,19.8,1,Nashik,IT-ITeS,10th Pass
TRN_MH_2026_1047,21199.93,12.3,2,Thane,Electronics and Hardware,12th Pass
TRN_MH_2026_1048,18702.66,16.1,0,Amravati,Apparel,Graduate
TRN_MH_2026_1049,11329.36,20.0,1,Mumbai,IT-ITeS,Below 10th
TRN_MH_2026_1050,18634.29,7.1,0,Amravati,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1051,16152.21,10.5,3,Pune,Automotive,Graduate
TRN_MH_2026_1052,15130.77,12.6,0,Pune,Electronics and Hardware,10th Pass
TRN_MH_2026_1053,19640.87,0.5,17,Nagpur,Construction,ITI Diploma
TRN_MH_2026_1054,21108.5,22.7,1,Solapur,Automotive,10th Pass
TRN_MH_2026_1055,20759.48,9.7,2,Nagpur,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1056,14562.74,11.2,0,Nagpur,Electronics and Hardware,Graduate
TRN_MH_2026_1057,16417.76,15.0,0,Chhatrapati Sambhajinagar,Construction,Below 10th
TRN_MH_2026_1058,18659.42,8.0,0,Solapur,Automotive,ITI Diploma
TRN_MH_2026_1059,20914.41,12.0,0,Nagpur,Apparel,Graduate
TRN_MH_2026_1060,15822.89,15.6,1,Amravati,Electronics and Hardware,Below 10th
TRN_MH_2026_1061,16850.19,12.3,1,Amravati,Apparel,12th Pass
TRN_MH_2026_1062,13627.83,13.5,3,Nashik,Electronics and Hardware,10th Pass
TRN_MH_2026_1063,13313.28,11.4,2,Nashik,Construction,Graduate
TRN_MH_2026_1064,20343.84,6.4,0,Mumbai,Apparel,10th Pass
TRN_MH_2026_1065,22246.84,15.6,0,Mumbai,Construction,12th Pass
TRN_MH_2026_1066,17247.96,22.8,2,Nagpur,Apparel,Graduate
TRN_MH_2026_1067,21012.37,14.1,0,Mumbai,IT-ITeS,Graduate
TRN_MH_2026_1068,18765.73,15.1,0,Nagpur,Construction,Below 10th
TRN_MH_2026_1069,15242.08,17.5,1,Nashik,IT-ITeS,ITI Diploma
TRN_MH_2026_1070,18764.88,7.7,2,Amravati,Healthcare,10th Pass
TRN_MH_2026_1071,22883.13,22.5,1,Nagpur,Electronics and Hardware,Below 10th
TRN_MH_2026_1072,17374.61,15.0,1,Mumbai,Construction,ITI Diploma
TRN_MH_2026_1073,22976.25,22.2,1,Pune,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1074,8330.89,10.3,1,Solapur,Apparel,10th Pass
TRN_MH_2026_1075,20376.66,23.1,0,Amravati,Construction,10th Pass
TRN_MH_2026_1076,17804.66,17.9,1,Pune,Apparel,Below 10th
TRN_MH_2026_1077,16453.47,16.8,1,Chhatrapati Sambhajinagar,Automotive,Graduate
TRN_MH_2026_1078,17821.16,15.2,1,Nagpur,Healthcare,Graduate
TRN_MH_2026_1079,10543.51,12.8,0,Amravati,Apparel,Below 10th
